0,mens indian clothing online,2016-04-27 21:44:33,men why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,men's indian chief costume,2016-04-27 21:44:33,men why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,mens indian sandals,2016-04-27 21:44:33,men why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,mens indian clothing online,2016-04-27 21:44:34,men are why indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,men's indian chief costume,2016-04-27 21:44:34,men are why indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,mens indian sandals,2016-04-27 21:44:34,men are why indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
